c:\sys\ut\rpn\rpn.py -l120 -E -a3010 1 5000 range lambda 2 x ** next_prime 2 x ** - eval 1 enumerate -s1
[
    [ 652, 445 ],
    [ 653, 159 ],
    [ 654, 19 ],
    [ 655, 549 ],
    [ 656, 81 ],
    [ 657, 555 ],
    [ 658, 69 ],
    [ 659, 681 ],
    [ 660, 765 ],
    [ 661, 165 ],
    [ 662, 1005 ],
    [ 663, 219 ],
    [ 664, 331 ],
    [ 665, 1875 ],
    [ 666, 439 ],
    [ 667, 141 ],
    [ 668, 385 ],
    [ 669, 1067 ],
    [ 670, 9 ],
    [ 671, 299 ],
    [ 672, 583 ],
    [ 673, 101 ],
    [ 674, 603 ],
    [ 675, 269 ],
    [ 676, 1155 ],
    [ 677, 357 ],
    [ 678, 229 ],
    [ 679, 323 ],
    [ 680, 211 ],
    [ 681, 2235 ],
    [ 682, 1795 ],
    [ 683, 83 ],
    [ 684, 183 ],
    [ 685, 27 ],
    [ 686, 303 ],
    [ 687, 285 ],
    [ 688, 165 ],
    [ 689, 515 ],
    [ 690, 85 ],
    [ 691, 135 ],
    [ 692, 651 ],
    [ 693, 35 ],
    [ 694, 115 ],
    [ 695, 225 ],
    [ 696, 681 ],
    [ 697, 9 ],
    [ 698, 1275 ],
    [ 699, 1719 ],
    [ 700, 535 ],
    [ 701, 321 ],
    [ 702, 2049 ],
    [ 703, 203 ],
    [ 704, 327 ],
    [ 705, 2217 ],
    [ 706, 105 ],
    [ 707, 93 ],
    [ 708, 141 ],
    [ 709, 407 ],
    [ 710, 337 ],
    [ 711, 203 ],
    [ 712, 265 ],
    [ 713, 515 ],
    [ 714, 19 ],
    [ 715, 473 ],
    [ 716, 883 ],
    [ 717, 51 ],
    [ 718, 1753 ],
    [ 719, 113 ],
    [ 720, 141 ],
    [ 721, 279 ],
    [ 722, 1225 ],
    [ 723, 119 ],
    [ 724, 177 ],
    [ 725, 629 ],
    [ 726, 789 ],
    [ 727, 155 ],
    [ 728, 505 ],
    [ 729, 939 ],
    [ 730, 273 ],
    [ 731, 345 ],
    [ 732, 81 ],
    [ 733, 639 ],
    [ 734, 117 ],
    [ 735, 411 ],
    [ 736, 297 ],
    [ 737, 837 ],
    [ 738, 847 ],
    [ 739, 51 ],
    [ 740, 345 ],
    [ 741, 81 ],
    [ 742, 519 ],
    [ 743, 239 ],
    [ 744, 975 ],
    [ 745, 267 ],
    [ 746, 207 ],
    [ 747, 1085 ],
    [ 748, 331 ],
    [ 749, 777 ],
    [ 750, 145 ],
    [ 751, 771 ],
    [ 752, 417 ],
    [ 753, 701 ],
    [ 754, 295 ],
    [ 755, 1619 ],
    [ 756, 567 ],
    [ 757, 105 ],
    [ 758, 265 ],
