c:\sys\ut\rpn\rpn.py -l100 -E -a2002 2 2500 range lambda 2 x ** previous_prime 2 x ** - eval 2 enumerate -s1
[
    [ 677, -631 ],
    [ 678, -41 ],
    [ 679, -1959 ],
    [ 680, -939 ],
    [ 681, -159 ],
    [ 682, -63 ],
    [ 683, -45 ],
    [ 684, -107 ],
    [ 685, -679 ],
    [ 686, -651 ],
    [ 687, -871 ],
    [ 688, -759 ],
    [ 689, -3 ],
    [ 690, -455 ],
    [ 691, -1057 ],
    [ 692, -65 ],
    [ 693, -739 ],
    [ 694, -3 ],
    [ 695, -49 ],
    [ 696, -447 ],
    [ 697, -343 ],
    [ 698, -723 ],
    [ 699, -9 ],
    [ 700, -1113 ],
    [ 701, -159 ],
    [ 702, -87 ],
    [ 703, -529 ],
    [ 704, -245 ],
    [ 705, -1255 ],
    [ 706, -5 ],
    [ 707, -91 ],
    [ 708, -149 ],
    [ 709, -1923 ],
    [ 710, -1127 ],
    [ 711, -207 ],
    [ 712, -489 ],
    [ 713, -729 ],
    [ 714, -167 ],
    [ 715, -7 ],
    [ 716, -153 ],
    [ 717, -25 ],
    [ 718, -753 ],
    [ 719, -717 ],
    [ 720, -395 ],
    [ 721, -61 ],
    [ 722, -275 ],
    [ 723, -465 ],
    [ 724, -287 ],
    [ 725, -33 ],
    [ 726, -807 ],
    [ 727, -657 ],
    [ 728, -77 ],
    [ 729, -9 ],
    [ 730, -483 ],
    [ 731, -951 ],
    [ 732, -303 ],
    [ 733, -609 ],
    [ 734, -261 ],
    [ 735, -607 ],
    [ 736, -509 ],
    [ 737, -771 ],
    [ 738, -171 ],
    [ 739, -789 ],
    [ 740, -875 ],
    [ 741, -795 ],
    [ 742, -1281 ],
    [ 743, -37 ],
    [ 744, -173 ],
    [ 745, -225 ],
    [ 746, -665 ],
    [ 747, -1299 ],
    [ 748, -153 ],
    [ 749, -723 ],
    [ 750, -161 ],
    [ 751, -165 ],
    [ 752, -875 ],
    [ 753, -1101 ],
    [ 754, -417 ],
    [ 755, -199 ],
    [ 756, -107 ],
    [ 757, -141 ],
    [ 758, -363 ],
    [ 759, -529 ],
    [ 760, -173 ],
    [ 761, -285 ],
    [ 762, -143 ],
    [ 763, -267 ],
    [ 764, -393 ],
    [ 765, -415 ],
    [ 766, -641 ],
    [ 767, -1081 ],
    [ 768, -825 ],
    [ 769, -279 ],
    [ 770, -495 ],
    [ 771, -67 ],
    [ 772, -545 ],
    [ 773, -649 ],
    [ 774, -611 ],
    [ 775, -381 ],
    [ 776, -1539 ],
    [ 777, -1011 ],
    [ 778, -483 ],
    [ 779, -87 ],
    [ 780, -147 ],
    [ 781, -3345 ],
    [ 782, -551 ],
    [ 783, -301 ],
